River,Year,Grade,Value,Unit,Source
Huai,2014,Grade I,0.001,River length (%),MWR
Huai,2014,Grade II,0.141,River length (%),MWR
Huai,2014,Grade III,0.319,River length (%),MWR
Huai,2014,Grade IV,0.265,River length (%),MWR
Huai,2014,Grade V,0.096,River length (%),MWR
Huai,2014,Grade V+,0.178,River length (%),MWR
Yangtze,2014,Grade I,0.062,River length (%),MWR
Yangtze,2014,Grade II,0.464,River length (%),MWR
Yangtze,2014,Grade III,0.249,River length (%),MWR
Yangtze,2014,Grade IV,0.090,River length (%),MWR
Yangtze,2014,Grade V,0.039,River length (%),MWR
Yangtze,2014,Grade V+,0.096,River length (%),MWR
Southeast,2014,Grade I,0.023,River length (%),MWR
Southeast,2014,Grade II,0.536,River length (%),MWR
Southeast,2014,Grade III,0.250,River length (%),MWR
Southeast,2014,Grade IV,0.093,River length (%),MWR
Southeast,2014,Grade V,0.070,River length (%),MWR
Southeast,2014,Grade V+,0.028,River length (%),MWR
Pearl,2014,Grade I,0.023,River length (%),MWR
Pearl,2014,Grade II,0.644,River length (%),MWR
Pearl,2014,Grade III,0.192,River length (%),MWR
Pearl,2014,Grade IV,0.052,River length (%),MWR
Pearl,2014,Grade V,0.028,River length (%),MWR
Pearl,2014,Grade V+,0.061,River length (%),MWR
Southwest,2014,Grade I,0.020,River length (%),MWR
Southwest,2014,Grade II,0.680,River length (%),MWR
Southwest,2014,Grade III,0.262,River length (%),MWR
Southwest,2014,Grade IV,0.022,River length (%),MWR
Southwest,2014,Grade V,0.002,River length (%),MWR
Southwest,2014,Grade V+,0.014,River length (%),MWR
Northwest,2014,Grade I,0.294,River length (%),MWR
Northwest,2014,Grade II,0.538,River length (%),MWR
Northwest,2014,Grade III,0.076,River length (%),MWR
Northwest,2014,Grade IV,0.063,River length (%),MWR
Northwest,2014,Grade V,0.001,River length (%),MWR
Northwest,2014,Grade V+,0.028,River length (%),MWR
Songhua,2014,Grade I-III,0.634,River length (%),MWR
Liao,2014,Grade I-III,0.578,River length (%),MWR
Yellow,2014,Grade I-III,0.660,River length (%),MWR
Huai,2014,Grade I-III,0.461,River length (%),MWR
Yangtze,2014,Grade I-III,0.775,River length (%),MWR
Southeast,2014,Grade I-III,0.809,River length (%),MWR
Pearl,2014,Grade I-III,0.859,River length (%),MWR
Southwest,2014,Grade I-III,0.962,River length (%),MWR
Northwest,2014,Grade I-III,0.908,River length (%),MWR
Songhua,2014,Grade IV-V,0.282,River length (%),MWR
Liao,2014,Grade IV-V,0.230,River length (%),MWR
Yellow,2014,Grade IV-V,0.151,River length (%),MWR
Huai,2014,Grade IV-V,0.361,River length (%),MWR
Yangtze,2014,Grade IV-V,0.129,River length (%),MWR
Southeast,2014,Grade IV-V,0.163,River length (%),MWR
Pearl,2014,Grade IV-V,0.080,River length (%),MWR
Southwest,2014,Grade IV-V,0.024,River length (%),MWR
Northwest,2014,Grade IV-V,0.064,River length (%),MWR
Hai,2014,Grade I-III,0.354,River length (%),MWR
Hai,2014,Grade IV-V,0.204,River length (%),MWR
Songhua,2013,Grade I-III,0.527,River length (%),MWR
Liao,2013,Grade I-III,0.548,River length (%),MWR
Hai,2013,Grade I-III,0.333,River length (%),MWR
Yellow,2013,Grade I-III,0.601,River length (%),MWR
Huai,2013,Grade I-III,0.386,River length (%),MWR
Yangtze,2013,Grade I-III,0.744,River length (%),MWR
Southeast,2013,Grade I-III,0.842,River length (%),MWR
Pearl,2013,Grade I-III,0.867,River length (%),MWR
Southwest,2013,Grade I-III,0.957,River length (%),MWR
Northwest,2013,Grade I-III,0.911,River length (%),MWR
Songhua,2013,Grade IV-V,0.374,River length (%),MWR
Liao,2013,Grade IV-V,0.246,River length (%),MWR
Hai,2013,Grade IV-V,0.186,River length (%),MWR
Yellow,2013,Grade IV-V,0.149,River length (%),MWR
Huai,2013,Grade IV-V,0.379,River length (%),MWR
Yangtze,2013,Grade IV-V,0.140,River length (%),MWR
Southeast,2013,Grade IV-V,0.106,River length (%),MWR
Pearl,2013,Grade IV-V,0.073,River length (%),MWR
Southwest,2013,Grade IV-V,0.033,River length (%),MWR
Northwest,2013,Grade IV-V,0.047,River length (%),MWR
Songhua,2011,Grade I,0.008,River length (%),MWR
Songhua,2011,Grade II,0.174,River length (%),MWR
Songhua,2011,Grade III,0.393,River length (%),MWR
Songhua,2011,Grade IV,0.221,River length (%),MWR
Songhua,2011,Grade V,0.031,River length (%),MWR
Songhua,2011,Grade V+,0.173,River length (%),MWR
Songhua,2011,Grade I-III,0.575,River length (%),MWR
Songhua,2011,Grade IV-V,0.252,River length (%),MWR
Liao,2011,Grade I,0.056,River length (%),MWR
Liao,2011,Grade II,0.318,River length (%),MWR
Liao,2011,Grade III,0.114,River length (%),MWR
Liao,2011,Grade IV,0.160,River length (%),MWR
Liao,2011,Grade V,0.110,River length (%),MWR
Liao,2011,Grade V+,0.242,River length (%),MWR
Liao,2011,Grade I-III,0.488,River length (%),MWR
Liao,2011,Grade IV-V,0.270,River length (%),MWR
Hai,2011,Grade I,0.015,River length (%),MWR
Hai,2011,Grade II,0.193,River length (%),MWR
Hai,2011,Grade III,0.154,River length (%),MWR
Hai,2011,Grade IV,0.058,River length (%),MWR
Hai,2011,Grade V,0.070,River length (%),MWR
Hai,2011,Grade V+,0.510,River length (%),MWR
Hai,2011,Grade I-III,0.362,River length (%),MWR
Hai,2011,Grade IV-V,0.128,River length (%),MWR
Yellow,2011,Grade I,0.022,River length (%),MWR
Yellow,2011,Grade II,0.314,River length (%),MWR
Yellow,2011,Grade III,0.158,River length (%),MWR
Yellow,2011,Grade IV,0.141,River length (%),MWR
Yellow,2011,Grade V,0.080,River length (%),MWR
Yellow,2011,Grade V+,0.285,River length (%),MWR
Yellow,2011,Grade I-III,0.494,River length (%),MWR
Yellow,2011,Grade IV-V,0.221,River length (%),MWR
Huai,2011,Grade I,0.004,River length (%),MWR
Huai,2011,Grade II,0.136,River length (%),MWR
Huai,2011,Grade III,0.240,River length (%),MWR
Huai,2011,Grade IV,0.269,River length (%),MWR
Huai,2011,Grade V,0.107,River length (%),MWR
Huai,2011,Grade V+,0.244,River length (%),MWR
Huai,2011,Grade I-III,0.380,River length (%),MWR
Huai,2011,Grade IV-V,0.376,River length (%),MWR
Yangtze,2011,Grade I,0.051,River length (%),MWR
Yangtze,2011,Grade II,0.394,River length (%),MWR
Yangtze,2011,Grade III,0.259,River length (%),MWR
Yangtze,2011,Grade IV,0.118,River length (%),MWR
Yangtze,2011,Grade V,0.053,River length (%),MWR
Yangtze,2011,Grade V+,0.125,River length (%),MWR
Yangtze,2011,Grade I-III,0.704,River length (%),MWR
Yangtze,2011,Grade IV-V,0.171,River length (%),MWR
Southeast,2011,Grade I,0.034,River length (%),MWR
Southeast,2011,Grade II,0.399,River length (%),MWR
Southeast,2011,Grade III,0.296,River length (%),MWR
Southeast,2011,Grade IV,0.109,River length (%),MWR
Southeast,2011,Grade V,0.038,River length (%),MWR
Southeast,2011,Grade V+,0.124,River length (%),MWR
Southeast,2011,Grade I-III,0.729,River length (%),MWR
Southeast,2011,Grade IV-V,0.147,River length (%),MWR
Pearl,2011,Grade I,0.003,River length (%),MWR
Pearl,2011,Grade II,0.387,River length (%),MWR
Pearl,2011,Grade III,0.346,River length (%),MWR
Pearl,2011,Grade IV,0.121,River length (%),MWR
Pearl,2011,Grade V,0.051,River length (%),MWR
Pearl,2011,Grade V+,0.092,River length (%),MWR
Pearl,2011,Grade I-III,0.736,River length (%),MWR
Pearl,2011,Grade IV-V,0.172,River length (%),MWR
Southwest,2011,Grade I,0.069,River length (%),MWR
Southwest,2011,Grade II,0.662,River length (%),MWR
Southwest,2011,Grade III,0.225,River length (%),MWR
Southwest,2011,Grade IV,0.019,River length (%),MWR
Southwest,2011,Grade V,0.006,River length (%),MWR
Southwest,2011,Grade V+,0.019,River length (%),MWR
Southwest,2011,Grade I-III,0.956,River length (%),MWR
Southwest,2011,Grade IV-V,0.025,River length (%),MWR
Northwest,2011,Grade I,0.287,River length (%),MWR
Northwest,2011,Grade II,0.593,River length (%),MWR
Northwest,2011,Grade III,0.080,River length (%),MWR
Northwest,2011,Grade IV,0.029,River length (%),MWR
Northwest,2011,Grade V,0.008,River length (%),MWR
Northwest,2011,Grade V+,0.003,River length (%),MWR
Northwest,2011,Grade I-III,0.960,River length (%),MWR
Northwest,2011,Grade IV-V,0.037,River length (%),MWR
National,2011,Grade I,0.046,River length (%),MWR
National,2011,Grade II,0.356,River length (%),MWR
National,2011,Grade III,0.240,River length (%),MWR
National,2011,Grade IV,0.129,River length (%),MWR
National,2011,Grade V,0.057,River length (%),MWR
National,2011,Grade V+,0.172,River length (%),MWR
National,2011,Grade I-III,0.642,River length (%),MWR
National,2011,Grade IV-V,0.186,River length (%),MWR
Songhua,2012,Grade I,0.005,River length (%),MWR
Songhua,2012,Grade II,0.166,River length (%),MWR
Songhua,2012,Grade III,0.398,River length (%),MWR
Songhua,2012,Grade IV,0.238,River length (%),MWR
Songhua,2012,Grade V,0.070,River length (%),MWR
Songhua,2012,Grade V+,0.123,River length (%),MWR
Songhua,2012,Grade I-III,0.569,River length (%),MWR
Songhua,2012,Grade IV-V,0.308,River length (%),MWR
Liao,2012,Grade I,0.026,River length (%),MWR
Liao,2012,Grade II,0.264,River length (%),MWR
Liao,2012,Grade III,0.151,River length (%),MWR
Liao,2012,Grade IV,0.189,River length (%),MWR
Liao,2012,Grade V,0.098,River length (%),MWR
Liao,2012,Grade V+,0.272,River length (%),MWR
Liao,2012,Grade I-III,0.441,River length (%),MWR
Liao,2012,Grade IV-V,0.287,River length (%),MWR
Hai,2012,Grade I,0.031,River length (%),MWR
Hai,2012,Grade II,0.211,River length (%),MWR
Hai,2012,Grade III,0.104,River length (%),MWR
Hai,2012,Grade IV,0.068,River length (%),MWR
Hai,2012,Grade V,0.125,River length (%),MWR
Hai,2012,Grade V+,0.461,River length (%),MWR
Hai,2012,Grade I-III,0.346,River length (%),MWR
Hai,2012,Grade IV-V,0.193,River length (%),MWR
Yellow,2012,Grade I,0.029,River length (%),MWR
Yellow,2012,Grade II,0.340,River length (%),MWR
Yellow,2012,Grade III,0.186,River length (%),MWR
Yellow,2012,Grade IV,0.124,River length (%),MWR
Yellow,2012,Grade V,0.047,River length (%),MWR
Yellow,2012,Grade V+,0.274,River length (%),MWR
Yellow,2012,Grade I-III,0.555,River length (%),MWR
Yellow,2012,Grade IV-V,0.171,River length (%),MWR
Huai,2012,Grade I,0.005,River length (%),MWR
Huai,2012,Grade II,0.096,River length (%),MWR
Huai,2012,Grade III,0.267,River length (%),MWR
Huai,2012,Grade IV,0.285,River length (%),MWR
Huai,2012,Grade V,0.108,River length (%),MWR
Huai,2012,Grade V+,0.239,River length (%),MWR
Huai,2012,Grade I-III,0.368,River length (%),MWR
Huai,2012,Grade IV-V,0.393,River length (%),MWR
Yangtze,2012,Grade I,0.049,River length (%),MWR
Yangtze,2012,Grade II,0.453,River length (%),MWR
Yangtze,2012,Grade III,0.245,River length (%),MWR
Yangtze,2012,Grade IV,0.086,River length (%),MWR
Yangtze,2012,Grade V,0.046,River length (%),MWR
Yangtze,2012,Grade V+,0.121,River length (%),MWR
Yangtze,2012,Grade I-III,0.747,River length (%),MWR
Yangtze,2012,Grade IV-V,0.132,River length (%),MWR
Southeast,2012,Grade I,0.057,River length (%),MWR
Southeast,2012,Grade II,0.462,River length (%),MWR
Southeast,2012,Grade III,0.270,River length (%),MWR
Southeast,2012,Grade IV,0.099,River length (%),MWR
Southeast,2012,Grade V,0.040,River length (%),MWR
Southeast,2012,Grade V+,0.072,River length (%),MWR
Southeast,2012,Grade I-III,0.789,River length (%),MWR
Southeast,2012,Grade IV-V,0.139,River length (%),MWR
Pearl,2012,Grade I,0.030,River length (%),MWR
Pearl,2012,Grade II,0.643,River length (%),MWR
Pearl,2012,Grade III,0.159,River length (%),MWR
Pearl,2012,Grade IV,0.068,River length (%),MWR
Pearl,2012,Grade V,0.029,River length (%),MWR
Pearl,2012,Grade V+,0.071,River length (%),MWR
Pearl,2012,Grade I-III,0.832,River length (%),MWR
Pearl,2012,Grade IV-V,0.097,River length (%),MWR
Southwest,2012,Grade I,0.125,River length (%),MWR
Southwest,2012,Grade II,0.655,River length (%),MWR
Southwest,2012,Grade III,0.197,River length (%),MWR
Southwest,2012,Grade IV,0.020,River length (%),MWR
Southwest,2012,Grade V,0.000,River length (%),MWR
Southwest,2012,Grade V+,0.003,River length (%),MWR
Southwest,2012,Grade I-III,0.977,River length (%),MWR
Southwest,2012,Grade IV-V,0.020,River length (%),MWR
Northwest,2012,Grade I,0.220,River length (%),MWR
Northwest,2012,Grade II,0.565,River length (%),MWR
Northwest,2012,Grade III,0.123,River length (%),MWR
Northwest,2012,Grade IV,0.046,River length (%),MWR
Northwest,2012,Grade V,0.021,River length (%),MWR
Northwest,2012,Grade V+,0.025,River length (%),MWR
Northwest,2012,Grade I-III,0.908,River length (%),MWR
Northwest,2012,Grade IV-V,0.067,River length (%),MWR
